Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Number_of_vehicles_involved,Number_of_casualties,Time,Accident_severity
18-30,Male,Junior high school,Owner,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left,2,7,4:46:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the right,2,7,4:46:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,7,4:46:00,Fatal
18-30,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,No distancing,2,7,4:46:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,2,7,4:46:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving under the influence of drugs,2,7,4:46:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,7,4:46:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,1,1,16:00:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,3,5:55:00,Serious
31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,3,5:55:00,Serious
31-50,Male,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,3,5:55:00,Serious
Unknown,Female,Elementary school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2,1,1:49:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to vehicle,2,1,1:49:00,Fatal
Over 51,Male,Junior high school,Employee,Above 10yr,other,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Moving Backward,1,1,13:25:00,Fatal
18-30,Male,High school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left,2,1,14:25:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,2,1,14:25:00,Fatal
Over 51,Male,Junior high school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,3,2,14:04:00,Fatal
31-50,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,3,2,14:04:00,Fatal
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,3,2,14:04:00,Fatal
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,1,14:20:00,Fatal
18-30,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,14:20:00,Fatal
18-30,Male,Elementary school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,13:15:00,Fatal
Over 51,Male,High school,Other,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing,2,1,13:15:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,3,1,0:23:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,3,1,0:23:00,Fatal
31-50,Male,High school,Owner,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,3,1,0:23:00,Fatal
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,1,22:20:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,1,22:20:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,1,0:57:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,1,0:57:00,Fatal
18-30,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2,1,8:10:00,Fatal
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,2,1,8:10:00,Fatal
18-30,Male,Above high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,1,1,14:33:00,Serious
Over 51,Unknown,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,1,15:33:00,Serious
Under 18,Male,Elementary school,Employee,5-10yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,1,1,8:00:00,Fatal
31-50,Male,Elementary school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights unlit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,1,0:50:00,Serious
Unknown,Female,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights unlit,Raining,Vehicle with vehicle collision,Unknown,Not a Pedestrian,Other,2,1,0:50:00,Serious
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right,2,1,11:20:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,1,11:20:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to vehicle,2,1,16:30:00,Fatal
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Not a Pedestrian,Changing lane to the left,2,1,16:30:00,Fatal
31-50,Male,Above high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,1,8:50:00,Serious
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,1,8:50:00,Serious
18-30,Male,Elementary school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Unknown,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,1,1,2:00:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No priority to vehicle,2,1,8:00:00,Fatal
18-30,Male,Unknown,Unknown,Unknown,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,8:00:00,Fatal
18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Changing lane to the left,2,1,7:10:00,Fatal
18-30,Male,Junior high school,Employee,Unknown,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Not a Pedestrian,No distancing,2,1,7:10:00,Fatal
31-50,Male,Junior high school,Employee,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,15:12:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,1,16:43:00,Fatal
Unknown,Female,Above high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Moving Backward,Not a Pedestrian,Driving carelessly,3,1,23:40:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,3,1,23:40:00,Fatal
Unknown,Female,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,3,1,23:40:00,Fatal
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,19:30:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,1,19:30:00,Fatal
Over 51,Male,Junior high school,Employee,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,2,3,14:15:00,Fatal
Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,3,14:15:00,Fatal
Over 51,Male,Unknown,Owner,Unknown,Unknown,Crossing,Asphalt roads,Daylight,Windy,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward,2,3,14:15:00,Fatal
18-30,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,3,3,15:20:00,Fatal
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,3,3,15:20:00,Fatal
31-50,Male,Elementary school,Employee,No Licence,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,3,3,15:20:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Driving carelessly,3,3,15:20:00,Fatal
Over 51,Male,Junior high school,Owner,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,3,12:15:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving under the influence of drugs,2,3,12:15:00,Fatal
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to pedestrian,2,3,12:15:00,Fatal
31-50,Male,Junior high school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No priority to vehicle,2,3,12:15:00,Fatal
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,1,11:30:00,Fatal
Under 18,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,1,0:40:00,Serious
18-30,Male,Junior high school,Employee,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,0:40:00,Serious
31-50,Male,Above high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,1,16:50:00,Fatal
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,1,5:15:00,Fatal
18-30,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,2,1,5:15:00,Fatal
18-30,Male,Unknown,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,1,19:00:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,1,19:00:00,Fatal
18-30,Male,Junior high school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,1,4,4:10:00,Fatal
